f_Hz,teorico_re,teorico_im,"Medido (simplificado, 3 patrones)_re","Medido (simplificado, 3 patrones)_im","Medido (completo, 4 patrones)_re","Medido (completo, 4 patrones)_im"
100000000.0,81.90464834543097,-0.5177116711955647,81.90464834543096,-0.5177116711955633,81.90464834543084,-0.5177116711957741
105000000.0,81.9042892385438,-0.5435947029539173,81.90428923854381,-0.5435947029539147,81.90428923854381,-0.5435947029539188
110000000.0,81.90391261786968,-0.5694773613048798,81.90391261786968,-0.5694773613048798,81.90391261786965,-0.5694773613047663
115000000.0,81.90351848392604,-0.5953596284735678,81.90351848392602,-0.5953596284735677,81.90351848392613,-0.5953596284735849
120000000.0,81.90310683725427,-0.621241486685992,81.90310683725426,-0.6212414866859919,81.90310683725431,-0.6212414866859833
125000000.0,81.90267767841993,-0.6471229181691001,81.90267767841995,-0.647122918169098,81.90267767841995,-0.6471229181694359
130000000.0,81.90223100801254,-0.6730039051508163,81.90223100801254,-0.6730039051508163,81.90223100801262,-0.6730039051505659
135000000.0,81.90176682664567,-0.6988844298600828,81.90176682664567,-0.6988844298600828,81.90176682664554,-0.698884429860013
140000000.0,81.90128513495699,-0.7247644745268996,81.90128513495699,-0.7247644745268996,81.90128513495682,-0.7247644745270829
145000000.0,81.90078593360815,-0.7506440213823662,81.90078593360815,-0.7506440213823662,81.9007859336081,-0.7506440213822241
150000000.0,81.9002692232849,-0.7765230526587217,81.90026922328488,-0.7765230526587253,81.90026922328481,-0.7765230526587052
155000000.0,81.89973500469694,-0.8024015505893848,81.89973500469694,-0.8024015505893848,81.899735004697,-0.8024015505893722
160000000.0,81.89918327857808,-0.8282794974089959,81.89918327857808,-0.8282794974089941,81.89918327857804,-0.828279497409063
165000000.0,81.89861404568614,-0.8541568753534565,81.89861404568614,-0.8541568753534547,81.89861404568622,-0.8541568753533663
170000000.0,81.89802730680297,-0.8800336666599704,81.89802730680297,-0.8800336666599704,81.89802730680282,-0.8800336666600617
175000000.0,81.89742306273443,-0.9059098535670842,81.89742306273445,-0.9059098535670811,81.89742306273452,-0.9059098535672533
180000000.0,81.89680131431042,-0.9317854183147278,81.89680131431044,-0.9317854183147248,81.89680131431047,-0.931785418314969
